,uuid,OBJECTID_1,count
0,00009999-0000-1000-8000-00177a000002,3743,117
1,00009999-0000-1000-8000-00177a000002,3744,52
2,00009999-0000-1000-8000-00177a000002,3748,196
3,00009999-0000-1000-8000-00177a000002,3753,79
4,00009999-0000-1000-8000-00177a000002,3754,161
5,00009999-0000-1000-8000-00177a000002,3759,4
6,00009999-0000-1000-8000-00177a000002,3761,15
7,00009999-0000-1000-8000-00177a000002,3770,12
8,00009999-0000-1000-8000-00177a000002,3780,12
9,00009999-0000-1000-8000-00177a000002,7737,176
10,00009999-0000-1000-8000-00177a000002,7747,1
11,00009999-0000-1000-8000-00177a000002,7788,112
12,00009999-0000-1000-8000-00177a000002,7789,597
13,00009999-0000-1000-8000-00177a000002,7845,2
14,00009999-0000-1000-8000-00177a000002,7911,22
15,00009999-0000-1000-8000-00177a000002,7912,3
16,00009999-0000-1000-8000-00177a000002,7916,3
17,00009999-0000-1000-8000-00177a000002,8000,15
18,00009999-0000-1000-8000-00177a000002,8004,16
19,00009999-0000-1000-8000-00177a000002,8015,4
20,00009999-0000-1000-8000-00177a000002,8018,1
21,00009999-0000-1000-8000-00177a000002,8030,45
22,00009999-0000-1000-8000-00177a000002,8034,7
23,00009999-0000-1000-8000-00177a000002,8035,96
24,00009999-0000-1000-8000-00177a000002,8036,293
25,00009999-0000-1000-8000-00177a000002,8037,163
26,00009999-0000-1000-8000-00177a000002,8062,33
27,00009999-0000-1000-8000-00177a000002,8064,2
28,00009999-0000-1000-8000-00177a000002,8075,9
29,00009999-0000-1000-8000-00177a000002,8083,30
30,00009999-0000-1000-8000-00177a000002,8086,32
31,00009999-0000-1000-8000-00177a000002,8099,28
32,00009999-0000-1000-8000-00177a000002,8100,71
33,00009999-0000-1000-8000-00177a000002,8101,82
34,00009999-0000-1000-8000-00177a000002,8103,118
35,00009999-0000-1000-8000-00177a000002,8135,48
36,00009999-0000-1000-8000-00177a000002,8138,270
37,00014422-d102-11e1-9b23-00025b00a5a5,8101,32
38,000170a0-79dc-4457-8175-c2a3de60b80b,7778,53
39,00ce1c6a-0f3e-4ba4-955a-69f997ba4aa4,8101,431
40,01059016-c1e6-3da5-7b81-eb84d9860645,7789,55
41,010e5daf-960b-43da-b605-89d5f040b217,8138,3
42,03040000-2aae-4d26-ad62-03e9a8637ebd,7856,236
43,048ec0bc-7d57-4d14-90f0-4f427e8eea36,8075,8
44,06649f1a-51ec-40c2-bae0-d1c063eae3bb,4299,354
45,06649f1a-51ec-40c2-bae0-d1c063eae3bb,4304,26
46,06649f1a-51ec-40c2-bae0-d1c063eae3bb,7737,27
47,06649f1a-51ec-40c2-bae0-d1c063eae3bb,7789,454
48,06649f1a-51ec-40c2-bae0-d1c063eae3bb,8124,31
49,06649f1a-51ec-40c2-bae0-d1c063eae3bb,8138,279
50,067c472f-4465-4289-978c-0c76f743b8df,8103,217
51,09142332-4556-0f78-899e-ebbcce94eff1,8037,33
52,09142332-4556-0f78-899e-ebbcce94eff1,8124,287
53,0adb26f9-0f6f-52e3-c28e-e993430def6c,4843,6
54,0c722c7e-9a1c-f7b6-8337-579c29b39ed9,7817,213
55,0f73d453-7524-4862-a864-3420875dba4b,3775,13
56,0f73d453-7524-4862-a864-3420875dba4b,3981,7
57,0f73d453-7524-4862-a864-3420875dba4b,7821,38
58,0f73d453-7524-4862-a864-3420875dba4b,7829,14
59,12345678-abe6-c60b-ec01-098765432101,8075,250
60,146c60f1-23c8-6b23-34f3-b3ded89b4de0,7829,1447
61,14839ac4-7d7e-415c-9a42-167340cf2339,7770,30
62,1566d364-f9fb-47bf-9174-1f6f5c8734a2,8075,64
63,18a54793-5c75-49ae-af6d-3edda84dffc3,3741,128
64,18a54793-5c75-49ae-af6d-3edda84dffc3,3791,64
65,18a54793-5c75-49ae-af6d-3edda84dffc3,7789,142
66,18a54793-5c75-49ae-af6d-3edda84dffc3,7829,45
67,18a54793-5c75-49ae-af6d-3edda84dffc3,7856,30
68,18a54793-5c75-49ae-af6d-3edda84dffc3,8075,5
69,18a54793-5c75-49ae-af6d-3edda84dffc3,8086,34
70,18a54793-5c75-49ae-af6d-3edda84dffc3,8101,15
71,18a54793-5c75-49ae-af6d-3edda84dffc3,8103,14
72,18a54793-5c75-49ae-af6d-3edda84dffc3,8136,14
73,19aea2b5-f0a9-4e7a-9599-69f65845dd03,7871,1
74,19aea2b5-f0a9-4e7a-9599-69f65845dd03,7910,1
75,1acbad6e-e1a5-4838-a62a-d35d00c35b01,7737,282
76,1acbad6e-e1a5-4838-a62a-d35d00c35b01,8075,7
77,1acbad6e-e1a5-4838-a62a-d35d00c35b01,8100,77
78,1acbad6e-e1a5-4838-a62a-d35d00c35b01,8101,128
